"trial","ref_position","var_area","response","correct","rt"
1,"R",11.1219251817092,"L",TRUE,3.59500002861023
2,"L",10.0638473147992,"R",TRUE,0.592999935150146
3,"L",13.2576587297954,"R",TRUE,0.400000095367432
4,"R",14.9046875399072,"R",FALSE,0.407999992370605
5,"R",11.3076980039477,"L",TRUE,0.991999864578247
6,"L",13.0019939022604,"R",TRUE,0.900000095367432
7,"L",10.4223664843012,"R",TRUE,1.29699993133545
8,"L",13.5806719257962,"R",TRUE,1.09699988365173
9,"L",11.4098020135425,"R",TRUE,0.981000185012817
10,"R",13.5907591150608,"L",TRUE,1.10500001907349
11,"R",13.7176829047967,"L",TRUE,0.598000049591064
12,"R",12.5986962278839,"L",TRUE,0.483999967575073
13,"L",9.41384068923071,"L",FALSE,0.601000070571899
14,"R",8.27416597818956,"L",FALSE,0.300000190734863
15,"L",11.1007503643632,"L",FALSE,0.392999887466431
16,"L",8.26252589514479,"L",TRUE,1.00699996948242
17,"L",12.783533442067,"R",TRUE,0.898999929428101
18,"R",10.0527362385765,"L",TRUE,0.601999998092651
19,"R",10.589827387128,"L",TRUE,0.490999937057495
20,"R",13.8798017906956,"L",TRUE,0.496999979019165
21,"R",12.7538678322453,"L",TRUE,0.595000028610229
22,"L",10.5941907069646,"L",FALSE,0.410000085830688
