"trial","ref_position","var_area","response","correct","rt"
1,"L",12.7335042534396,"L",FALSE,3.29699993133545
2,"L",11.5753720838111,"L",FALSE,0.785000085830688
3,"L",9.07693154807203,"L",FALSE,0.493000030517578
4,"R",8.75815654289909,"L",FALSE,0.0920000076293945
5,"R",14.3747625716496,"L",TRUE,0.299000024795532
6,"R",13.0059594023041,"L",TRUE,0.196000099182129
7,"L",14.3815480859485,"L",FALSE,0.196999788284302
8,"R",10.263953356538,"L",TRUE,0.197999954223633
9,"L",13.5177276208997,"L",FALSE,0.194000005722046
10,"R",11.7366265763994,"L",TRUE,0.484000205993652
11,"R",13.0882892082445,"L",TRUE,0.292999982833862
12,"L",9.08675286895595,"L",FALSE,0.197000026702881
13,"L",13.4988005557097,"L",FALSE,0.299999952316284
14,"R",9.12506841449067,"L",TRUE,0.197000026702881
15,"L",13.4170121611096,"L",FALSE,0.0970001220703125
16,"R",13.7916445308365,"L",TRUE,0.196000099182129
17,"R",10.1831061553676,"L",TRUE,0.197000026702881
18,"L",12.7235563318245,"L",FALSE,0.19599986076355
19,"R",12.1485837046057,"L",TRUE,0.16100001335144
20,"R",12.8457930407021,"L",TRUE,0.197000026702881
